priority,category,adapter,product_line,official_status,project_status,required_work,source
P2,explicit_unsupported,blockchaincom,contract,"Blockchain.com Exchange API 文档是现货 exchange API，未见标准 futures/perpetual/options Exchange API endpoints","当前只声明 spot","按 Exchange API 口径写交易所不支持合约；Perps/第三方接口单独写项目未实现边界","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,btcbox,contract,"BTCBOX 官方 API 覆盖 JPY 现货 ticker/depth/orders/balance/trade_add/trade_cancel，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,btcturk,contract,"BtcTurk 官方 API 覆盖 market data、trading、account management，下单字段为 buy/sell 现货订单，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,coinmate,contract,"Coinmate 官方站点/API 覆盖 EUR/CZK 现货交易、API、order book、orders、balances、WS，未见标准 futures/perpetual/options/margin","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,product_line,coinmetro,margin/swap/tram_like,"Coinmetro 官方资料确认 Margin 平台，API docs repo 记录 /swap 限制；TRAM-like product boundary 需单独归类","当前只声明 spot","写项目未实现 Margin/Swap/TRAM-like product boundary；标准合约另写交易所不支持","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,coinmetro,contract,"Coinmetro 官方资料未见标准 futures/perpetual/options API","当前只声明 spot","标准 futures/perpetual/options 写交易所不支持合约；Margin/Swap 单独写项目未实现","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,coinsph,contract,"Coins.ph 官方 API/帮助中心明确 Spot Trade API，REST 覆盖 exchangeInfo、depth、orders、account、wallet/payment 边界；未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,coinspot,contract,"CoinSpot 官方 API/V2 API 覆盖 AUD spot markets、balances、orders、history；未见标准 futures/perpetual/options/margin","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,cryptomus,contract,"Cryptomus 官方 Exchange 文档覆盖 trading pairs、orders、orderbook、WS；payment/conversion 不等于标准合约，未见 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约；payment/conversion 不并入合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,exmo,margin,"EXMO 官方资料确认 EXMO Margin 和 Margin API/费率资料","当前只声明 spot","写项目未实现 Margin；补保证金账户、订单、费率和风险边界","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,exmo,contract,"EXMO 官方 perpetual futures 当前写 active development，未见已上线标准 futures/perpetual/options API","当前只声明 spot","当前标准 futures/perpetual/options 写交易所不支持合约；perps 上线后重核","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,fmfwio,margin/futures/perpetual,"FMFW.io v3 API 有 Margin Trading 与 Futures Trading，含 futures account、positions、orders、trading WS","当前只声明 spot","写项目未实现 Margin/Futures/Perpetual；补仓位、保证金、订单和 WS","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,foxbit,contract,"Foxbit REST/WS v3 覆盖 Exchange spot；Rispar 抵押借贷 margin call 不是交易所合约仓位；未见标准 futures/perpetual/options API","当前只声明 spot","单交易所文档写交易所不支持合约；Rispar loan/OTC/Prime Desk 不并入合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,hollaex,contract,"HollaEx 官方 api.hollaex.com/v2 是 demo/API spot exchange surface；白标/admin 能力不等于此 adapter 的合约产品线","当前只声明 spot","按官方 demo/API profile 写交易所不支持合约；任意白标 venue 单独核验","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,indodax,contract,"Indodax 官方 public/private API 与 PDF/GitHub docs 覆盖 IDR spot pairs、TAPI trading/account；未见标准 futures/perpetual/options/margin API","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,latoken,futures/perpetual_endpoint_spec,"LATOKEN API v1/v2 是 spot order/account/market data，API 权限写 Trading on Spot；官方 /futures 页面有产品线索但当前 API 文档未给稳定 endpoint","当前只声明 spot","写项目未实现 Futures/需官方 endpoint spec 核验；不能写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,mercado,contract,"Mercado Bitcoin API v4 覆盖 spot symbols、orderbook、accounts、balances、orders、fees、wallet；positions 是 open orders，不是合约仓位","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,myokx,margin/swap/futures/options/events,"my.okx.com/docs-v5 是 OKX v5 API，包含 Spot/Margin、Futures、Swap、Options、Events、positions、leverage、funding/open interest","当前只声明 spot","写项目未实现 Margin/Swap/Futures/Options/Events 或委托主 okx adapter；不能写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,ndax,margin_account_semantics,"NDAX API 响应字段含 margin enabled、lending/profit-loss account 字段，但 instrument type 当前为 standard；未见标准 futures/perpetual/options","当前只声明 spot","写项目未实现 Margin account semantics；标准 futures/perpetual/options 另写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,ndax,contract,"NDAX API 未见标准 futures/perpetual/options；instrument type 当前为 standard","当前只声明 spot","标准 futures/perpetual/options 写交易所不支持合约；margin account semantics 单独写项目未实现","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,novadax,contract,"NovaDAX 官方 API 覆盖 symbols、market data、orders、account、wallet；未见 futures/perpetual/options/margin","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,okxus,perpetual_futures/event_contracts/margin,"OKX U.S. 官方帮助中心当前有 perpetual futures、event contracts、spot & margin trading 资料；区域可用性/资格仍需审计","当前只声明 spot","写项目未实现 Perpetual Futures/Event Contracts/Margin boundary；补区域资格/API 域名核验","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,onetrading,futures/perpetual,"One Trading Futures API 明确 PERP perpetual futures instruments、margin、positions、futures order path","当前只声明 spot","写项目未实现 Futures/Perpetual；补 futures endpoint mapping、仓位、保证金、订单和 WS","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,p2b,contract,"P2B API/Swagger 覆盖 spot pairs、orderbook、balance、order、trades、P2P；未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约；P2P 不并入中心化订单簿","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,paymium,contract,"Paymium API/adapter scope 是 BTC/EUR spot public/private REST 与 socket.io；未见 margin/futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,tokocrypto,contract,"Tokocrypto API 是 spot/Binance-family surface；exchangeInfo 中 spotTradingEnable=1、marginTradingEnable=0；未见 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,wavesexchange,contract,"WX matcher REST/WS 是 Waves spot asset pair matcher；不提供标准合约仓位、资金费、mark price","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,yobit,contract,"YoBit API v3/TAPI 覆盖 public spot market data、Trade API、Defi swap/Yobicode 等；未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约；Defi swap 不并入合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,explicit_unsupported,zaif,contract,"Zaif 官方 API 文档覆盖 Orderbook trading；官方信用取引页面写当前停止中；未见当前可接的标准 futures/perpetual/options API","当前只声明 spot","当前 margin/信用取引不作为项目缺实现；标准合约写交易所不支持合约，恢复后重核","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,product_line,zebpay,futures/perpetual,"ZebPay API services 和 docs 明确 Spot + Perpetual Futures/Futures API，含 futures market/orderbook/exchangeInfo、leverage/margin 字段","当前只声明 spot","写项目未实现 Futures/Perpetual；不能写交易所不支持合约","产品线官方核验_P6_剩余区域现货_CEX.md"
P2,public_ws_struct,ascendex,spot/perpetual,"官方支持 public `depth:<symbol>` 和 `bbo:<symbol>`；depth 默认 300ms throttle；snapshot 最多 500 档；seqnum 必须连续","项目已有 payload/parser 证据但缺结构化 interval/depth/resync 字段","补 endpoint_mapping 的 push interval、depth-snapshot/depth-snapshot-top100、seqnum 断档重建和 fixture","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws,cex,spot,"官方 Spot Trading WS 支持 `order_book_subscribe` 和 `order_book_increment`；首包 snapshot 带 seqId；官方未给固定 ms","项目只有 payload/auth/pong helper；公共 WS runtime 未实现","补 ws-public endpoint、订阅 payload、seqId 增量 parser、REST snapshot/断线重建策略","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws,coinsph,spot,"官方支持 bookTicker real-time、partial depth 5/10/20/200、diff depth 100ms/1000ms；U/u 本地订单簿规则明确","当前 public/private WebSocket runtime unsupported","补 Coins.ph public stream endpoint、bookTicker、partial/diff depth、U/u snapshot 重建和 parser fixture","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws,latoken,spot,"官方 STOMP WS 支持 `/v1/book/{base}/{quote}`；未给固定 ms/depth；nonce 连续性用于重连检测","当前 WebSocket spec-only；runtime 不启用","补 STOMP public book runtime 或明确保持 spec-only 的 parser/fixture 边界；记录 nonce gap reconnect","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws,p2b,spot,"官方支持 WSS `depth.subscribe`；limit 1-100；increment 每 1s；full flag 每 60s；未给 sequence/checksum","当前 WSS documented as unverified；runtime unsupported","补 depth.subscribe/depth.update parser、1s/60s 重建策略和无 sequence/checksum 风险字段","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws,paymium,spot,"官方 socket.io public stream 推 `bids`/`asks` 价位变更；未给固定 ms/depth/sequence","当前 socket.io public/user runtime unsupported","补 socket.io v1.3 public stream 或保留项目未实现任务；用 REST depth 初始化和断线全量重建","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,bit2c,spot,"当前官方 API 只见 REST public/private；未见稳定公共订单簿 WS","public_ws=未声明","单交易所文档写交易所不支持公共 WS 行情；REST orderbook/top book 作为 polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,bitteam,spot,"当前官方 docs/OpenAPI 只给 REST/CCXT-style endpoints；未给 WSS endpoint 和订单簿订阅规格","public_ws=unsupported","单交易所文档写交易所不支持公共 WS 行情；REST orderbook 作为 polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,btcbox,spot,"当前官方 API 资料是 HTTP Public/Private API；未见稳定公共订单簿 WS","public_ws=unsupported","单交易所文档写交易所不支持公共 WS 行情；REST depth 作为 polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,cod3x,perpetual,"Cod3x 官方资料是 perps trading terminal/routing layer；未建立 Cod3x-native 订单簿 WS API","public_ws=未声明","单交易所文档按 Cod3x-native profile 写交易所不支持公共 WS 行情；下游 venue 走各自 adapter","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,coinspot,spot,"官方 API/V2 API 是 public/private REST；未见公共订单簿 WS","public_ws=未声明","单交易所文档写交易所不支持公共 WS 行情；REST open orders/orderbook polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,derive_chain_perps,perpetual,"Derive Exchange 官方 WS runtime 归 `derive` adapter；本 profile 只记录 Derive Chain settlement 边界","public_ws=未声明","单交易所文档按 profile 口径写交易所不支持公共 WS 行情；避免重复实现 Derive Exchange WS","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,equation,perpetual,"官方资料是 Arbitrum perpetual protocol、REST/Graph/EVM 示例；未给稳定 exchange-gateway 公共订单簿 WS","public_ws=未声明","单交易所文档按 audit-only adapter 口径写交易所不支持公共 WS 行情","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,indodax,spot,"官方 PDF/GitHub API 覆盖 Public API 和 TAPI REST；未见公共订单簿 WS","public_ws=未声明","单交易所文档写交易所不支持公共 WS 行情；REST depth polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,yobit,spot,"官方 API v2/v3/TAPI/Defi API 覆盖 REST market data 和交易接口；未见公共订单簿 WS","public_ws=unsupported","单交易所文档写交易所不支持公共 WS 行情；REST depth polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,zebpay,spot/futures,"当前官方 docs 覆盖 Spot/Futures REST market/book/orderBook；未见公共订单簿 WS stream","public_ws=unsupported","单交易所文档写交易所不支持公共 WS 行情；REST book/book_long/futures orderBook polling fallback","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P2,public_ws_unsupported,zeta_markets,perpetual,"官方文档声明 Zeta Markets 已于 2025-05 停止运营；无当前公共 WS runtime","public_ws=unsupported","单交易所文档写交易所不支持当前公共 WS runtime；只保留 legacy REST fixture","WebSocket官方核验_P3_P2公共WS缺口交易所.md"
P3,public_ws_struct,aark,perpetual,"官方 Orderly orderbookupdate 每 200ms；{symbol}@orderbookupdate；prevTs；无 checksum","public_ws=spec_only，缺 interval/depth/sequence 结构化字段","补 Orderly EVM WS endpoint/account_id、200ms、prevTs、request orderbook snapshot 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,modetrade,perpetual,"官方 Orderly orderbookupdate 每 200ms；{symbol}@orderbookupdate；prevTs；无 checksum","public_ws=spec_only，缺 interval/depth/sequence 结构化字段","补 Orderly EVM WS endpoint/account_id、200ms、prevTs、request orderbook snapshot 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,woofipro,perpetual,"官方 Orderly orderbookupdate 每 200ms；{symbol}@orderbookupdate；prevTs；无 checksum","public_ws=spec_only，缺 interval/depth/sequence 结构化字段","补 Orderly EVM WS endpoint/account_id、200ms、prevTs、request orderbook snapshot 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,apex,perpetual,"官方 ApeX Omni 支持 orderBook{limit}.H.{symbol}；limit 25/200；未给固定 ms；无 checksum","public_ws=native，缺 interval/depth/sequence 结构化字段","补 high-frequency topic、25/200 档、snapshot+delta、乱序后 snapshot 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,aster,perpetual,"官方 Aster Futures 支持 bookTicker realtime、partial/diff depth 100/250/500ms、5/10/20 档、U/u/pu","public_ws=declared，缺 interval/depth/sequence 结构化字段","补 Binance-style depth channel、100ms 档、5/10/20 档、REST snapshot + delta buffer 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,blofin,perpetual,"官方 BloFin books 200 depth 增量 100ms；books5 5 depth 100ms；prevSeqId/seqId","public_ws=native，缺 interval/depth/sequence 结构化字段","补 books/books5、100ms、200/5 档、prevSeqId 连续性和断档重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,bullish,spot/perpetual,"官方 Bullish 支持 l1Orderbook/l2Orderbook live realtime；sequenceNumber；未给固定 ms/depth","public_ws=native，缺 interval/depth/sequence 结构化字段","补 JSON-RPC subscribe、L1/L2、sequence/reconnect 和 REST hybrid snapshot 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,derive,option/perpetual,"官方 Derive 支持 public orderbook/ticker/trades WS；未给固定 ms/depth/sequence/checksum","public_ws=native，缺 interval/depth/sequence 风险字段","补 orderbook channel、无固定 ms/depth/checksum 标记和 REST/JSON-RPC snapshot 兜底","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,dydx,perpetual,"官方 dYdX v4_orderbook 首包 snapshot 后推 price level 更新；message_id/version/clobPairId；无 checksum","public_ws=native，缺 interval/depth/rebuild 结构化字段","补 v4_orderbook initial/update、message_id/version、断线重新订阅 snapshot 重建","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,hyperliquid,spot/perpetual,"官方 Hyperliquid 支持 l2Book/bbo；REST l2Book snapshot 最多 20 levels/side；无固定 ms/sequence/checksum","public_ws=native，缺无固定 ms/无 checksum/REST depth 字段","补 bbo/l2Book、20 levels REST snapshot、stale book 和 resync 风险字段","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,lighter,perpetual/spot,"官方 Lighter order_book/{MARKET_INDEX} 每 50ms；首包 snapshot 后只推变化；nonce 连续；无 checksum","public_ws=parser_only，缺 interval/depth/nonce 结构化字段","补 50ms、nonce continuity、snapshot/update、gap resubscribe 和高速盘口标记","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P3,public_ws_struct,paradex,perpetual/option/spot,"官方 Paradex order_book 固定 15 levels，refresh_rate 50ms/100ms，feed_type snapshot/deltas/interactive，seq_no","public_ws=native，缺 interval/depth/feed_type/sequence 字段","补 50/100ms、15 levels、feed_type、seq_no 和高速盘口标记","WebSocket官方核验_P5_衍生品链上盘口细项.md"
P2,public_ws_unsupported,bitkan,spot/perpetual,"当前未找到 BitKan 官方稳定 API 文档公开说明订单簿 WebSocket；公开资料更像聚合交易/broker 入口","public_ws=unsupported","单交易所文档写交易所不支持公共 WS 行情；不要把 unverified helper 推到 runtime","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,aftermath,perpetual,"官方 Aftermath Perpetuals SDK 有 /perpetuals/ws/updates orderbook deltas；未给固定 ms/depth/sequence/checksum","public_ws=spec_only，缺 orderbook channel/interval/depth 结构化字段","补 orderbook delta subscribe/unsubscribe、无固定 ms/depth/sequence 风险和 REST getOrderbook snapshot fallback","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,alpaca,spot,"官方 Alpaca Crypto Data API 支持 orderbooks WS；需 auth 后 subscribe；未给固定 ms/depth/sequence/checksum","public_ws=native，缺 interval/depth 风险字段","补 auth+subscribe orderbooks、无固定 ms/depth/checksum 和 REST latest orderbooks 重建","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,apollox_dex,perpetual,"官方 APX/ApolloX Futures 支持 bookTicker real-time、partial/diff depth 100/250/500ms、5/10/20 档、U/u/pu","public_ws=spec_only，缺 orderbook channel/interval 结构化字段","补 Binance-style depth/bookTicker、100ms、5/10/20 档、REST snapshot + delta buffer 重建","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,arkham,spot/perpetual,"官方 Arkham Exchange 有 RESTful HTTP API 和 Websocket API，但公开页未给订单簿 channel/interval/depth/sequence 细项","public_ws=spec_only，缺 orderbook channel/interval/depth 字段","补完整 Exchange API reference 来源、orderbook subscribe payload、无固定细项风险；未补前不启用 runtime","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,biconomy,spot,"官方 Biconomy depth.subscribe 支持 depth 5/10/15/20/30/50/100、precision 多档；depth.update 有 is_full；未给固定 ms/sequence/checksum","public_ws=spec_only，缺 interval/depth/sequence 结构化字段","补 depth.subscribe、depth/precision、full/incremental 和无 sequence/checksum 风险字段","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,bigone,spot/perpetual,"官方 BigONE Spot WS MarketDepth 先 snapshot 后 update；changeId/prevId 连续；未给固定 ms/depth","public_ws=parser_only，缺 orderbook channel/interval/depth 字段","补 subscribeMarketDepthRequest、snapshot/update、changeId/prevId、protobuf 选项和 REST snapshot 重建","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,bitbns,spot,"旧官方 Python repo 已废弃且说明不覆盖 WebSockets；示例仅出现 getOrderBookSocket，未给稳定 endpoint/interval/depth/sequence","public_ws=spec_only，缺 orderbook channel/interval/depth 字段","补旧 SDK 风险边界；保持 spec-only，REST orderbook 重建，未取得稳定官方规格前不启用 runtime","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,bitrue,spot/perpetual,"官方 Bitrue Spot WS 支持 market_${symbol}_simple_depth_step0；gzip payload；server ping 15s；未给固定 ms/depth/checksum","public_ws=parser_only，缺 orderbook channel/interval/depth 字段","补 depth channel、gzip、ping 15s、无固定 ms/depth/checksum 和 REST depth fallback","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,bittrade,spot,"官方 BitTrade public WS 支持 market.<symbol>.depth.<type> step0-step5 和 market.<symbol>.bbo；BBO 有 seqId；未给固定 ms/checksum","public_ws=native，缺 orderbook channel/interval 字段","补 depth/BBO channel、step0-step5、seqId、gzip 和 REST depth 重建","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,bitunix,spot/perpetual,"官方 Bitunix Futures depth_books/book1/book5/book15；Spot WS 是 request-response；未给固定 ms/sequence/checksum","public_ws=spec_only，缺 orderbook channel/depth 字段","补 futures depth channel、1/5/15 档、15s ping、无 sequence/checksum 和 REST depth重建","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,blockchaincom,spot,"官方 Blockchain.com Exchange WS 支持 l2/l3 order book；消息带 seqnum；未给固定 ms/checksum","public_ws=spec_only，缺 orderbook channel/interval 字段","补 l2/l3 subscribe、seqnum、snapshot/update、message limit 和 REST/WS snapshot 重建","WebSocket官方核验_P6_补充交易所盘口细项.md"
P3,public_ws_struct,bsx,perpetual,"官方 BSX book channel 订阅后 snapshot，之后 25ms 推增量且每分钟 snapshot；payload 有 gsn/timestamp，未见 checksum","public_ws=spec_only，缺 interval/depth/sequence 结构化字段","补 book channel、25ms、每分钟 snapshot、gsn 和 REST product book snapshot fallback","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,btcturk,spot,"官方 BtcTurk orderbook channel 推全量，obdiff channel 推差量；CS 为 ChangeSet 顺序值；未给固定 ms/depth/checksum","public_ws=native，缺订单簿 channel/interval/depth 字段","补 orderbook/obdiff 订阅、CS、REST orderbook 初始化和断档重建","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,bybiteu,spot/futures/perpetual,"官方 Bybit V5 orderbook 支持 1 档 10ms、50 档 20ms、200 档 100ms、1000 档 200ms；有 u/seq/cts","public_ws=spec_only，已有 orderbook.50 但缺 interval/sequence 字段","补 EU host 下 orderbook.1/orderbook.50、10ms/20ms、snapshot/delta 和 u/seq/cts","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,bydfi,perpetual,"官方 BYDFi Futures depth/limited depth 支持 1000ms 或 100ms；limited depth 10/50/100；未见 sequence/checksum","public_ws=native，缺 channel/interval 结构化字段","补 path stream 和 JSON SUBSCRIBE、100ms、10/50/100 档、REST snapshot fallback","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,coinstore,spot/perpetual,"官方 Coinstore Spot depth stream 最小推送间隔 100ms；Spot server message 有 session 序号 S；Futures 支持 future_snapshot_depth","public_ws=parser_only，缺订单簿 channel/interval/depth 字段","补 spot depth stream、100ms、session 序号 S、futures snapshot depth 和 REST snapshot 重建","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,cointr,spot/perpetual,"官方 CoinTR depth channel 200-300ms；books/books1/books5/books15；有 CRC32 checksum","public_ws=declared，缺 interval/depth 结构化字段","补 200-300ms、1/5/15/full 档、CRC32 checksum 和 snapshot+update 重建","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,cryptomus,spot,"官方 Cryptomus depth_subscribe 按 market:scale_index 订阅；depth_update 有 full_reload 标记；未给固定 ms/depth/sequence/checksum","public_ws=spec_only，缺订单簿 channel/interval/depth 字段","补 depth_subscribe、scale_index、full_reload、无 sequence/checksum 风险和 REST orderbook fallback","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P2,public_ws_unsupported,d8x,perpetual,"本批未找到 D8X 稳定官方公共订单簿 WS 文档；可核验的是 CoinGecko-compatible REST orderbook","public/private WS runtime unsupported，只有 payload fixture","单交易所文档写交易所不支持当前公共 WS runtime；REST orderbook snapshot fallback，未核验 fixture 不进实盘","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,deepcoin,spot/perpetual,"官方 DeepCoin public WS V2 book25 为 25Level Incremental Market Data；有 LocalNo/ResumeNo；未给固定 ms/checksum","public_ws=spec/parser ready，缺 interval/depth/sequence 结构化字段","补 book25、25 档、LocalNo/ResumeNo、REST books sz 1..400 snapshot fallback","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,delta,futures/option/perpetual,"官方 Delta 新公共 WS ob_l1 100ms、ob_l2 15 档 500ms、ob_updates 100ms；ob_updates 有 seq 和 CRC32 cs","public_ws=native descriptor，缺新 channel/interval/checksum 字段","补 ob_l1/ob_l2/ob_updates、新 public endpoint、seq +1 校验、CRC32 和 resubscribe 重建","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,digifinex,spot/perpetual,"官方 DigiFinex Spot depth.subscribe 推 depth.update，首参数 true/false 区分 complete/update；Swap orderbook.subscribe；未给固定 ms/depth/checksum","public_ws=spec/parser ready，缺 interval/depth 结构化字段","补 depth/orderbook subscribe、complete/update 标记、无固定 ms/depth/checksum 和 REST snapshot fallback","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,exmo,spot,"官方 EXMO public WS 支持 spot/order_book_snapshots 和 spot/order_book_updates；top-25 positions 和 top-400 changes；未给固定 ms/sequence/checksum","public_ws=spec_only，缺 interval/depth 字段","补 snapshots/updates、25/400、无 sequence/checksum 风险和 REST order_book 重建","WebSocket官方核验_P7_补充交易所盘口细项二.md"
P3,public_ws_struct,fmfwio,spot,"官方 FMFW.io/HitBTC v3 family 支持 orderbook/D5-D20/100ms、orderbook/top/100ms 和 orderbook/full；partial 有 sequence s；未见 checksum","public_ws=spec_only，缺 orderbook channel 字段","补 orderbook/D5/D10/D20、top BBO、100/500/1000ms、sequence s 和 REST snapshot 重建","WebSocket官方核验_P8_补充交易所盘口细项三.md"
P3,public_ws_struct,foxbit,spot,"官方 Foxbit REST/WS v3 支持 public orderbook payload；本批未核到固定 ms/depth/sequence/checksum","public_ws=payload_helper，缺推流间隔字段","补无固定 ms/sequence/checksum 风险、depth 参数复核和 REST orderbook fallback","WebSocket官方核验_P8_补充交易所盘口细项三.md"
P3,public_ws_struct,gemini,spot,"官方 Gemini WS 支持 bookTicker real-time、partial depth 5/10/20 100ms/1s、diff depth 100ms/1s；有 lastUpdateId/U/u","public_ws=native，缺 orderbook channel/interval/depth 字段","补 bookTicker、depth5/10/20@100ms、diff depth@100ms、snapshot 参数和 U/u 重建","WebSocket官方核验_P8_补充交易所盘口细项三.md"
P3,public_ws_struct,grvt,perpetual/option,"官方 GRVT v1.book.s 支持 selector instrument@rate-depth；示例 500ms/50 档；payload 有 sequence_number/prev_sequence_number","public_ws=parser_only，缺 interval/depth 字段","补 v1.book.s/v1.book.d、500ms/50 档、sequence/prev_sequence 和 gap resubscribe","WebSocket官方核验_P8_补充交易所盘口细项三.md"
