exchange,market_types,spot_project,contract_project,official_gap_check,public_ws_support,private_ws_support,public_ws_channels,private_ws_channels,orderbook_channels,ws_push_interval_evidence,ws_depth_evidence,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,ws_gap,mapping,doc,get_symbol_rules,get_order_book,get_balances,get_positions,get_fees,place_order,place_quote_market_order,cancel_order,amend_order,place_order_list,batch_place_orders,batch_cancel_orders,cancel_all_orders,query_order,get_open_orders,get_recent_fills
coinbaseexchange,spot,声明,不支持,,native,native,"1000,50,absolute_quantity_level_delta,activate,change,depth,done,full,full_l2_delta,full_l3_events,full_l3_events_compact,heartbeat,hmac,l2update,level2,level2_batch,level3,match,matches,none,none_in_level2_schema,noop,open,orderbook_full,orderbook_level2,orderbook_level2_batch,orderbook_level3,public_orderbook_delta_batch,realtime,received,schema,sequence,snapshot,spot,ticker","full,level2,level2_batch,level3,public_orderbook_delta_batch,public_orderbook_delta_level2,public_orderbook_l3_compact,public_orderbook_l3_full","depth,orderbook_full,orderbook_level2,orderbook_level2_batch,orderbook_level3,public_orderbook_delta_batch",50ms,"2,3",50,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinbaseexchange/endpoint_mapping.yaml,docs/交易所网关/适配器/coinbaseexchange_adapter.md,运行,运行,运行,-,运行,运行,-,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
coincheck,spot,声明,不支持,,native,unsupported,"subscribe_public_order_book,{pair}-orderbook,{pair}-trades","subscribe_public_order_book,{pair}-orderbook","subscribe_public_order_book,{pair}-orderbook","1s,100ms",,100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coincheck/endpoint_mapping.yaml,docs/交易所网关/适配器/coincheck_adapter.md,运行,运行,运行,-,不支持,运行,-,运行,不支持,不支持,运行,运行,不支持,不支持,运行,运行
coindcx,"perpetual,spot",声明,声明,,declared,declared,"B-BTC_USDT@orderbook@20,depth-update,{instrument}@orderbook@50-futures,{instrument}@trades-futures,{symbol}@orderbook@50,{symbol}@prices,{symbol}@trades,{symbol}_{interval}",,"B-BTC_USDT@orderbook@20,depth-update,{instrument}@orderbook@50-futures,{symbol}@orderbook@50",60s,"20,50",60000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coindcx/endpoint_mapping.yaml,docs/交易所网关/适配器/coindcx_adapter.md,映射,映射,原生,原生,不支持,原生,-,原生,原生,不支持,映射,映射,原生,原生,原生,原生
coinex,spot,声明,项目未实现,"项目未实现 contract_product,futures_product",native,native,"depth.subscribe,depth.update",,"depth.subscribe,depth.update",200ms,"0,5,10,20,50",200,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinex/endpoint_mapping.yaml,docs/交易所网关/适配器/coinex_adapter.md,运行,运行,运行,-,运行,运行,-,运行,运行,不支持,运行,运行,运行,运行,运行,运行
coinmate,spot,声明,不支持,,spec_only,spec_only,"order_book-{PAIR},statistics-{PAIR},trades-{PAIR}","private-open_orders-{ACCOUNT_ID}[-{PAIR}],private-user-trades-{ACCOUNT_ID}[-{PAIR}],private-user_balances-{ACCOUNT_ID}",order_book-{PAIR},,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinmate/endpoint_mapping.yaml,docs/交易所网关/适配器/coinmate_adapter.md,原生,原生,离线,-,离线,离线,-,离线,离线,不支持,不支持,不支持,离线,运行,运行,运行
coinmetro,spot,声明,不支持,项目未实现 margin_product,native,native,"bookUpdate,book_update,tick","orderStatus,walletUpdate","bookUpdate,book_update",,1,,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinmetro/endpoint_mapping.yaml,docs/交易所网关/适配器/coinmetro_adapter.md,运行,运行,运行,-,不支持,运行,-,运行,不支持,不支持,不支持,不支持,不支持,运行,运行,运行
coinone,spot,声明,不支持,,native,spec_only,"ORDERBOOK,TICKER,TRADE",orders,ORDERBOOK,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinone/endpoint_mapping.yaml,docs/交易所网关/适配器/coinone_adapter.md,运行,运行,运行,-,运行,运行,运行,运行,不支持,不支持,不支持,不支持,运行,运行,运行,运行
coinsph,spot,声明,不支持,,spec_only,unsupported,"public_book_ticker,public_orderbook_diff_depth,public_orderbook_partial_depth,{symbol}@bookTicker,{symbol}@depth10@100ms,{symbol}@depth200@1000ms,{symbol}@depth20@100ms,{symbol}@depth5@100ms,{symbol}@depth5|10|20@100ms, {symbol}@depth200@1000ms,{symbol}@depth@1000ms,{symbol}@depth@100ms,{symbol}@depth@100ms|1000ms","public_book_ticker,public_orderbook_diff_depth,public_orderbook_partial_depth,{symbol}@bookTicker,{symbol}@depth5|10|20@100ms, {symbol}@depth200@1000ms,{symbol}@depth@100ms|1000ms","public_book_ticker,public_orderbook_diff_depth,public_orderbook_partial_depth,{symbol}@bookTicker,{symbol}@depth10@100ms,{symbol}@depth200@1000ms,{symbol}@depth20@100ms,{symbol}@depth5@100ms,{symbol}@depth5|10|20@100ms, {symbol}@depth200@1000ms,{symbol}@depth@1000ms,{symbol}@depth@100ms,{symbol}@depth@100ms|1000ms","100ms,1000ms","1,5,10,20,50,100,200",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinsph/endpoint_mapping.yaml,docs/交易所网关/适配器/coinsph_adapter.md,运行,运行,运行,-,运行,运行,-,运行,不支持,不支持,不支持,不支持,不支持,运行,运行,运行
coinspot,spot,声明,不支持,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/coinspot/endpoint_mapping.yaml,docs/交易所网关/适配器/coinspot_adapter.md,运行,运行,运行,-,运行,运行,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,运行,运行
coinstore,"perpetual,spot",声明,声明,,parser_only,parser_only,"crates/rustcta-exchange-gateway/src/adapters/coinstore/stream_tests.rs,depth,future_snapshot_depth,match,public_books,tests/fixtures/exchanges/coinstore/public_ws_book.json,websocket",match,"depth,future_snapshot_depth,public_books,tests/fixtures/exchanges/coinstore/public_ws_book.json",100ms,"1,20,100",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinstore/endpoint_mapping.yaml,docs/交易所网关/适配器/coinstore_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,-,运行,运行,运行
cointr,"perpetual,spot",声明,声明,,declared,declared,"books,books1,books15,books5,candle,subscribe_public_stream,ticker,trade","subscribe_private_stream,subscribe_public_stream,user.account,user.fills,user.orders,user.positions","books,books1,books15,books5","200ms,300ms","1,5,15,25",200,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/cointr/endpoint_mapping.yaml,docs/交易所网关/适配器/cointr_adapter.md,运行,运行,运行,运行,运行,运行,原生,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
coinw,"perpetual,spot",声明,声明,,native,parser_only,"depth,depth_snapshot,public_futures_order_book_depth,public_spot_order_book_incremental,public_spot_order_book_snapshot_method1,public_spot_order_book_snapshot_method2,spot/level2_20,spot/level2_20:{symbol}","depth,depth_snapshot,public_futures_order_book_depth,public_spot_order_book_incremental,public_spot_order_book_snapshot_method1,public_spot_order_book_snapshot_method2,spot/level2_20:{symbol}","depth,depth_snapshot,public_futures_order_book_depth,public_spot_order_book_incremental,public_spot_order_book_snapshot_method1,public_spot_order_book_snapshot_method2",,"1,2,20,100",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/coinw/endpoint_mapping.yaml,docs/交易所网关/适配器/coinw_adapter.md,映射,映射,原生,原生,原生,原生,映射,原生,不支持,不支持,组合,组合,-,原生,原生,原生
cryptocom,"perpetual,spot",声明,声明,,native,native,"book,book.{instrument_name}.{depth},candlestick,subscribe_public_order_book,ticker,trade","book.{instrument_name}.{depth},subscribe_public_order_book,user.balance,user.order,user.trade","book,book.{instrument_name}.{depth},subscribe_public_order_book",500ms,"2,10,50",500,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/cryptocom/endpoint_mapping.yaml,docs/交易所网关/适配器/cryptocom_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行,运行
cryptomus,spot,声明,不支持,,native,native,depth_subscribe,,depth_subscribe,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/cryptomus/endpoint_mapping.yaml,docs/交易所网关/适配器/cryptomus_adapter.md,运行,运行,运行,-,运行,运行,不支持,运行,不支持,不支持,不支持,不支持,不支持,运行,运行,运行
d8x,perpetual,不支持,声明,,unsupported,unsupported,"orderbook:{ticker_id},public_orderbook_delta","orderbook:{ticker_id},private_orders,public_orderbook_delta,unsupported","orderbook:{ticker_id},public_orderbook_delta",,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/d8x/endpoint_mapping.yaml,docs/交易所网关/适配器/d8x_adapter.md,运行,运行,离线,离线,不支持,离线,-,离线,不支持,不支持,不支持,不支持,不支持,离线,离线,离线
deepcoin,"perpetual,spot",声明,声明,,spec_only,spec_only,"book25,subscribe_public_order_book","book25,subscribe_public_order_book","book25,subscribe_public_order_book",,"1,25,400",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/deepcoin/endpoint_mapping.yaml,docs/交易所网关/适配器/deepcoin_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,不支持,运行,运行,运行,运行,运行,运行
delta,"futures,option,perpetual",项目未实现,声明,项目未实现 spot_product,native,native,"all_trades,candlestick_1m,l2_orderbook,l2_updates,ob_l1,ob_l2,ob_updates,v2/ticker","orders,positions,v2/user_trades,wallet",l2_orderbook,"100ms,500ms","1,2,15",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/delta/endpoint_mapping.yaml,docs/交易所网关/适配器/delta_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,不支持,运行,运行,-,运行,运行,运行
deribit,"futures,option,perpetual",项目未实现,声明,项目未实现 spot_product,native,native,book.{instrument_name}.{group}.{depth}.{interval},"user.orders.any.any.100ms,user.portfolio.any,user.trades.any.any.100ms",book.{instrument_name}.{group}.{depth}.{interval},100ms,"1,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/deribit/endpoint_mapping.yaml,docs/交易所网关/适配器/deribit_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,不支持,运行,运行,-,运行,运行,运行
derive,"option,perpetual",项目未实现,声明,项目未实现 spot_product,native,spec_only,"orderbook,ticker,trades","private.balances,private.orders,private.positions,private.trades",orderbook,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/derive/endpoint_mapping.yaml,docs/交易所网关/适配器/derive_adapter.md,原生,原生,原生,原生,不支持,离线,-,离线,离线,不支持,不支持,不支持,-,-,原生,-
derive_chain_perps,perpetual,不支持,声明,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/derive_chain_perps/endpoint_mapping.yaml,docs/交易所网关/适配器/derive_chain_perps_adapter.md,不支持,不支持,离线,不支持,不支持,不支持,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
digifinex,"perpetual,spot",声明,声明,,spec_only,spec_only,"depth.subscribe,orderbook.subscribe,subscribe_public_order_book_spot,subscribe_public_order_book_swap","depth.subscribe,orderbook.subscribe,subscribe_public_order_book_spot,subscribe_public_order_book_swap","depth.subscribe,orderbook.subscribe,subscribe_public_order_book_spot,subscribe_public_order_book_swap",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/digifinex/endpoint_mapping.yaml,docs/交易所网关/适配器/digifinex_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,-,-,运行,运行
dydx,perpetual,项目未实现,声明,项目未实现 spot_product,native,native,"v4_candles,v4_markets,v4_orderbook,v4_trades",v4_subaccounts,v4_orderbook,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/dydx/endpoint_mapping.yaml,docs/交易所网关/适配器/dydx_adapter.md,原生,原生,原生,原生,离线,离线,-,离线,离线,不支持,离线,离线,-,原生,原生,原生
equation,perpetual,不支持,声明,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/equation/endpoint_mapping.yaml,docs/交易所网关/适配器/equation_adapter.md,不支持,不支持,离线,不支持,不支持,不支持,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
exmo,spot,声明,不支持,项目未实现 margin_product,spec_only,spec_only,"spot/order_book_snapshots,spot/order_book_updates,spot/order_book_updates:{pair},spot/ticker,spot/trades,subscribe_public_order_book_delta","spot/order_book_updates:{pair},spot/orders,spot/user_trades,spot/wallet,subscribe_private_user_trades,subscribe_public_order_book_delta","spot/order_book_snapshots,spot/order_book_updates,spot/order_book_updates:{pair},subscribe_public_order_book_delta",,"25,400",,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/exmo/endpoint_mapping.yaml,docs/交易所网关/适配器/exmo_adapter.md,运行,运行,运行,-,运行,运行,运行,运行,不支持,不支持,不支持,不支持,-,运行,运行,运行
fmfwio,"futures,spot",声明,声明,"项目未实现 contract_product,futures_product,margin_product",spec_only,spec_only,"orderbook/D5/100ms,public_orderbook_snapshot","orderbook/D5/100ms,private_trading_reports,public_orderbook_snapshot,spot_subscribe","orderbook/D5/100ms,public_orderbook_snapshot","100ms,500ms,1000ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/fmfwio/endpoint_mapping.yaml,docs/交易所网关/适配器/fmfwio_adapter.md,运行,运行,运行,-,运行,运行,-,运行,运行,运行,不支持,不支持,-,运行,运行,运行
foxbit,spot,声明,不支持,,spec_only,spec_only,"orderbook,public_orderbook_subscribe,ticker,trades","orderbook,private,private_account_events,public_orderbook_subscribe","orderbook,public_orderbook_subscribe",2000ms,"10,1000",2000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/foxbit/endpoint_mapping.yaml,docs/交易所网关/适配器/foxbit_adapter.md,离线,离线,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,运行
gateio,"perpetual,spot",声明,声明,"项目未实现 delivery_futures_product,option_product",native,unsupported,"futures.order_book_update,public_order_book_update_100ms,public_order_book_update_20ms,public_perpetual_order_book_update_100ms,public_perpetual_order_book_update_20ms,spot.order_book_update","futures.order_book_update,public_order_book_update_100ms,public_order_book_update_20ms,public_perpetual_order_book_update_100ms,public_perpetual_order_book_update_20ms,spot.order_book_update","futures.order_book_update,public_order_book_update_100ms,public_order_book_update_20ms,public_perpetual_order_book_update_100ms,public_perpetual_order_book_update_20ms,spot.order_book_update","20ms,100ms","20,100",20,否,低延迟盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/gateio/endpoint_mapping.yaml,docs/交易所网关/适配器/gateio_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,运行,不支持,组合,原生,运行,运行,运行,运行
gemini,spot,声明,项目未实现,"项目未实现 contract_product,derivatives_product,perpetual_product",native,native,"1,10,100,1000,20,5,book_ticker,depth_per_side,diff_depth_100ms,diff_depth_1s,incremental,marketdata,partial_depth_10_100ms,partial_depth_10_1s,partial_depth_20_100ms,partial_depth_20_1s,partial_depth_5_100ms,partial_depth_5_1s,real_time,{symbol}@bookTicker,{symbol}@depth10@100ms,{symbol}@depth10@1s,{symbol}@depth20@100ms,{symbol}@depth20@1s,{symbol}@depth5@100ms,{symbol}@depth5@1s,{symbol}@depth@100ms,{symbol}@depth@1s",order_events,"book_ticker,depth_per_side,diff_depth_100ms,diff_depth_1s,partial_depth_10_100ms,partial_depth_10_1s,partial_depth_20_100ms,partial_depth_20_1s,partial_depth_5_100ms,partial_depth_5_1s,{symbol}@bookTicker,{symbol}@depth10@100ms,{symbol}@depth10@1s,{symbol}@depth20@100ms,{symbol}@depth20@1s,{symbol}@depth5@100ms,{symbol}@depth5@1s,{symbol}@depth@100ms,{symbol}@depth@1s","1s,100ms,1000ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/gemini/endpoint_mapping.yaml,docs/交易所网关/适配器/gemini_adapter.md,运行,运行,运行,-,不支持,运行,-,运行,不支持,不支持,不支持,不支持,运行,运行,运行,运行
grvt,"option,perpetual",不支持,声明,,parser_only,unsupported,"50,500,book_delta,book_snapshot,depth_levels,parser_only,prev_sequence_number,sequence_number,tests/fixtures/exchanges/grvt/ws/book_delta.json,v1.book.d,v1.book.s,{instrument}@{interval_ms}-{depth}","api_key,grvt.private_stream_session_spec_only,unsupported_unverified,v1/fill,v1/order,v1/positions","book_delta,book_snapshot,depth_levels,tests/fixtures/exchanges/grvt/ws/book_delta.json,v1.book.d,v1.book.s,{instrument}@{interval_ms}-{depth}",500ms,"50,500",500,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/grvt/endpoint_mapping.yaml,docs/交易所网关/适配器/grvt_adapter.md,离线,离线,离线,离线,离线,离线,-,离线,离线,不支持,离线,离线,离线,运行,运行,运行
hashkey_global,"perpetual,spot",声明,声明,,spec_only,spec_only,"depth,depth.300ms.depth200.no_sequence.no_checksum.resync_REST",,"depth,depth.300ms.depth200.no_sequence.no_checksum.resync_REST","10s,300ms,10000ms",200,300,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/hashkey_global/endpoint_mapping.yaml,docs/交易所网关/适配器/hashkey_global_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,不支持,不支持,运行,运行,-,-,运行,运行
hibachi,perpetual,不支持,声明,,parser_only,unsupported,"orderbook,orderbook/{symbol},payload_fixture_only,trades/{symbol}",,"orderbook,orderbook/{symbol}",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/hibachi/endpoint_mapping.yaml,docs/交易所网关/适配器/hibachi_adapter.md,运行,运行,运行,运行,运行,离线,-,离线,离线,不支持,离线,离线,离线,运行,运行,运行
hitbtc,"futures,spot",声明,声明,"项目未实现 contract_product,futures_product,margin_product",spec_only,spec_only,"orderbook/D5/100ms,public_orderbook_snapshot","orderbook/D5/100ms,private_trading_reports,public_orderbook_snapshot,spot_subscribe","orderbook/D5/100ms,public_orderbook_snapshot","100ms,500ms,1000ms","1,5,10,20",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/hitbtc/endpoint_mapping.yaml,docs/交易所网关/适配器/hitbtc_adapter.md,运行,运行,运行,-,运行,运行,-,运行,运行,运行,不支持,不支持,-,运行,运行,运行
hollaex,spot,声明,不支持,,spec_only,spec_only,"orderbook,orderbook:{symbol}",,"orderbook,orderbook:{symbol}",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/hollaex/endpoint_mapping.yaml,docs/交易所网关/适配器/hollaex_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,离线,运行,运行,运行
htx,"perpetual,spot,spot | linear_perp",声明,声明,,declared,declared,"bbo,depth,kline,market.{contract_code}.depth.size_20.high_freq,market.{symbol}.mbp.20,market.{symbol}.mbp.refresh.20,mbp,mbp_refresh,public_orderbook_default,subscribe_public_stream,ticker,trade","accounts_cross,match_orders_cross,orders_cross,positions_cross,public_orderbook_default,spot_accounts,spot_fills,spot_orders,subscribe_private_stream,subscribe_public_stream","bbo,depth,market.{contract_code}.depth.size_20.high_freq,public_orderbook_default","30ms,100ms,1000ms","1,5,10,20,150,400",30,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/htx/endpoint_mapping.yaml,docs/交易所网关/适配器/htx_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,-,-,运行,运行,运行,运行,运行,运行
huobi,"perpetual,spot,spot | linear_perp",声明,声明,,declared,declared,"bbo,depth,kline,market.{contract_code}.depth.size_20.high_freq,market.{symbol}.mbp.20,market.{symbol}.mbp.refresh.20,mbp,mbp_refresh,public_orderbook_default,subscribe_public_stream,ticker,trade","accounts_cross,match_orders_cross,orders_cross,positions_cross,public_orderbook_default,spot_accounts,spot_fills,spot_orders,subscribe_private_stream,subscribe_public_stream","bbo,depth,market.{contract_code}.depth.size_20.high_freq,public_orderbook_default","30ms,100ms,1000ms","1,5,10,20,150,400",30,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/huobi/endpoint_mapping.yaml,docs/交易所网关/适配器/huobi_adapter.md,映射,映射,原生,原生,原生,原生,-,原生,-,-,-,-,-,原生,原生,原生
hyperliquid,"perpetual,spot",声明,声明,项目未实现 spot_product,native,native,"activeAssetCtx,allMids,bbo,candle,l2Book,trades","orderUpdates,userEvents,userFills,userFundings,userNonFundingLedgerUpdates","bbo,l2Book",,"1,2,20",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/hyperliquid/endpoint_mapping.yaml,docs/交易所网关/适配器/hyperliquid_adapter.md,运行,运行,运行,运行,离线,运行,-,运行,-,-,-,-,-,-,运行,运行
independentreserve,spot,声明,不支持,项目未实现 leveraged_product,spec_only,spec_only,"orderbook,orderbook-{primaryCurrencyCode_lower},subscribe_public_order_book,trade","account,order,orderbook-{primaryCurrencyCode_lower},subscribe_public_order_book,trade","orderbook,orderbook-{primaryCurrencyCode_lower},subscribe_public_order_book",60000ms,,60000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/independentreserve/endpoint_mapping.yaml,docs/交易所网关/适配器/independentreserve_adapter.md,组合,映射,原生,-,组合,原生,-,原生,-,-,-,-,-,原生,原生,原生
indodax,spot,声明,不支持,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/indodax/endpoint_mapping.yaml,docs/交易所网关/适配器/indodax_adapter.md,运行,运行,运行,-,不支持,运行,运行,不支持,-,-,不支持,不支持,-,运行,运行,运行
kcex,"perpetual,spot",声明,声明,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/kcex/endpoint_mapping.yaml,docs/交易所网关/适配器/kcex_adapter.md,不支持,不支持,离线,不支持,不支持,不支持,-,不支持,-,-,不支持,不支持,-,-,不支持,不支持
kraken,"perpetual,spot",声明,声明,,native,native,"book,subscribe_public_stream_perpetual,subscribe_public_stream_spot","book,subscribe_private_stream_perpetual,subscribe_private_stream_spot,subscribe_public_stream_perpetual,subscribe_public_stream_spot",book,,"10,25,100,500,1000",,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/kraken/endpoint_mapping.yaml,docs/交易所网关/适配器/kraken_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,-,-,运行,运行,运行,运行,运行,运行
krakenfutures,"futures,perpetual",不支持,声明,,native,native,"book,book.no_fixed_ms.no_fixed_depth.seq.no_checksum.rest_orderbook_resync,book_snapshot",,"book,book.no_fixed_ms.no_fixed_depth.seq.no_checksum.rest_orderbook_resync,book_snapshot",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/krakenfutures/endpoint_mapping.yaml,docs/交易所网关/适配器/krakenfutures_adapter.md,运行,运行,运行,运行,离线,运行,-,运行,-,-,-,-,运行,运行,运行,运行
kucoin,spot,声明,委托,,native,native,"obu_depth1_realtime_bbo,obu_depth50_100ms,obu_depth5_100ms,obu_increment_realtime,public_orderbook_bbo,public_orderbook_delta,public_orderbook_depth50","obu_depth1_realtime_bbo,obu_depth50_100ms,obu_increment_realtime,public_orderbook_bbo,public_orderbook_delta,public_orderbook_depth50","obu_depth1_realtime_bbo,obu_depth50_100ms,obu_depth5_100ms,public_orderbook_bbo,public_orderbook_delta,public_orderbook_depth50","10ms,100ms","1,5,50,500",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/kucoin/endpoint_mapping.yaml,docs/交易所网关/适配器/kucoin_adapter.md,运行,运行,运行,-,运行,运行,-,运行,运行,-,-,-,运行,运行,运行,运行
kucoinfutures,perpetual,不支持,声明,,native,native,"/contractMarket/level2:{symbol},/contractMarket/level2Depth50:{symbol}.100ms,/contractMarket/level2Depth5:{symbol}.100ms,obu.depth1.real-time,obu.depth5.100ms,obu.depth50.100ms",,"/contractMarket/level2Depth50:{symbol}.100ms,/contractMarket/level2Depth5:{symbol}.100ms,obu.depth1.real-time,obu.depth5.100ms,obu.depth50.100ms",100ms,"1,2,5,50",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/kucoinfutures/endpoint_mapping.yaml,docs/交易所网关/适配器/kucoinfutures_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,-,-,-,-,运行,运行,运行,运行
latoken,spot,声明,项目未实现,"项目未实现 contract_product,futures_product",native,unsupported,"/v1/book/{base}/{quote},subscribe_public_order_book","/v1/book/{base}/{quote},subscribe_public_order_book","/v1/book/{base}/{quote},subscribe_public_order_book",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/latoken/endpoint_mapping.yaml,docs/交易所网关/适配器/latoken_adapter.md,运行,运行,运行,-,运行,运行,-,运行,不支持,不支持,运行,运行,运行,运行,运行,运行
lbank,"perpetual,spot",声明,声明,,native,spot_only_with_subscribe_key,"depth,kbar,order_book_snapshot,tick,trade","assetUpdate,orderUpdate","depth,order_book_snapshot",,"1,3,10,50,100",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/lbank/endpoint_mapping.yaml,docs/交易所网关/适配器/lbank_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,不支持,-,运行,运行,运行,运行,运行,运行
lighter,"perpetual,spot",声明,声明,项目未实现 spot_product,parser_only,unsupported,"50,market_stats/{MARKET_INDEX},nonce,order_book,order_book/{MARKET_INDEX},parser_only,resubscribe_snapshot,ticker/{MARKET_INDEX},trade/{MARKET_INDEX},unsupported","bearer,lighter.private_stream_session_spec_only,unsupported_unverified","order_book,order_book/{MARKET_INDEX}",50ms,,50,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/lighter/endpoint_mapping.yaml,docs/交易所网关/适配器/lighter_adapter.md,离线,离线,离线,离线,离线,离线,-,离线,离线,不支持,离线,离线,离线,运行,运行,运行
luno,spot,声明,不支持,,native,spec_only,"market_stream,orderbook:market_stream,pair_path_market_stream",,orderbook:market_stream,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/luno/endpoint_mapping.yaml,docs/交易所网关/适配器/luno_adapter.md,运行,运行,离线,-,离线,离线,-,离线,-,-,-,-,-,运行,运行,运行
