adapter,market_types,spot_project,contract_project,core_ops,public_ws_support,ws_gap,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,confirmed_tasks,confirmed_task_priorities,confirmed_task_categories,remaining_checks,remaining_check_priorities,remaining_check_categories,workload_score,next_action,doc,mapping
btcturk,spot,声明,未声明,6/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/btcturk_adapter.md,crates/rustcta-exchange-gateway/src/adapters/btcturk/endpoint_mapping.yaml
coincheck,spot,声明,未声明,7/8,native,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coincheck_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coincheck/endpoint_mapping.yaml
delta,"futures,option,perpetual",未声明,声明,9/9,native,已记录核心细项,100,是,百毫秒盘口候选,4,"P2:1,P3:2,P4:1","advanced_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/delta_adapter.md,crates/rustcta-exchange-gateway/src/adapters/delta/endpoint_mapping.yaml
derive,"option,perpetual",未声明,声明,5/9,native,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/derive_adapter.md,crates/rustcta-exchange-gateway/src/adapters/derive/endpoint_mapping.yaml
foxbit,spot,声明,未声明,0/8,payload_helper,缺推流间隔,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/foxbit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/foxbit/endpoint_mapping.yaml
gemini,spot,声明,未声明,8/8,native,缺订单簿channel,100,是,百毫秒盘口候选,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,fee_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/gemini_adapter.md,crates/rustcta-exchange-gateway/src/adapters/gemini/endpoint_mapping.yaml
hyperliquid,perpetual,未声明,声明,8/9,native,缺推流间隔,,是,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,fee:1,product_line:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/hyperliquid_adapter.md,crates/rustcta-exchange-gateway/src/adapters/hyperliquid/endpoint_mapping.yaml
krakenfutures,perpetual,未声明,声明,9/9,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/krakenfutures_adapter.md,crates/rustcta-exchange-gateway/src/adapters/krakenfutures/endpoint_mapping.yaml
mercado,spot,声明,未声明,0/8,payload_helper,缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/mercado_adapter.md,crates/rustcta-exchange-gateway/src/adapters/mercado/endpoint_mapping.yaml
novadax,spot,声明,未声明,0/8,payload_helper,缺推流间隔,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/novadax_adapter.md,crates/rustcta-exchange-gateway/src/adapters/novadax/endpoint_mapping.yaml
tokocrypto,spot,声明,未声明,8/8,spec_only,缺订单簿channel；缺档位,100,否,百毫秒盘口候选,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/tokocrypto_adapter.md,crates/rustcta-exchange-gateway/src/adapters/tokocrypto/endpoint_mapping.yaml
woofipro,perpetual,未声明,声明,9/9,spec_only,缺档位,200,否,慢速盘口/需评估,4,"P2:1,P3:2,P4:1","advanced_trading:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/woofipro_adapter.md,crates/rustcta-exchange-gateway/src/adapters/woofipro/endpoint_mapping.yaml
zaif,spot,声明,未声明,7/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,4,"P2:1,P3:2,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,fee_unsupported:1,public_ws_struct:1",0,-,-,48,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/zaif_adapter.md,crates/rustcta-exchange-gateway/src/adapters/zaif/endpoint_mapping.yaml
backpack,"perpetual,spot",声明,声明,9/9,parser_only,缺推流间隔,,是,缺推流间隔证据,2,"P1:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,43,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/backpack_adapter.md,crates/rustcta-exchange-gateway/src/adapters/backpack/endpoint_mapping.yaml
bitmex,"perpetual,spot",声明,声明,9/9,native,缺推流间隔,,否,缺推流间隔证据,2,"P1:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,43,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/bitmex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitmex/endpoint_mapping.yaml
kraken,"perpetual,spot",声明,声明,9/9,native,缺推流间隔；缺档位,,否,缺推流间隔证据,2,"P1:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,43,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/kraken_adapter.md,crates/rustcta-exchange-gateway/src/adapters/kraken/endpoint_mapping.yaml
orangex,"perpetual,spot",声明,声明,9/9,spec_only,缺订单簿channel；缺档位,100,否,百毫秒盘口候选,2,"P1:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,43,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/orangex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/orangex/endpoint_mapping.yaml
whitebit,"perpetual,spot",声明,声明,9/9,native,缺推流间隔,,是,缺推流间隔证据,2,"P1:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,43,补已确认 P1 WebSocket 结构化细项,docs/交易所网关/适配器/whitebit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/whitebit/endpoint_mapping.yaml
apollox_dex,perpetual,未声明,声明,2/9,spec_only,缺订单簿channel,100,是,百毫秒盘口候选,3,"P2:1,P3:1,P4:1","advanced_trading:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/apollox_dex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/apollox_dex/endpoint_mapping.yaml
aster,perpetual,未声明,声明,9/9,declared,已记录核心细项,100,是,百毫秒盘口候选,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/aster_adapter.md,crates/rustcta-exchange-gateway/src/adapters/aster/endpoint_mapping.yaml
bitflyer,"margin,spot",声明,未声明,8/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitflyer_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitflyer/endpoint_mapping.yaml
bithumb,spot,声明,未声明,8/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bithumb_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bithumb/endpoint_mapping.yaml
bitstamp,spot,声明,未声明,8/8,declared,缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitstamp_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitstamp/endpoint_mapping.yaml
bitvavo,spot,声明,未声明,8/8,native,缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitvavo_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitvavo/endpoint_mapping.yaml
blofin,perpetual,未声明,声明,9/9,native,缺档位,100,否,百毫秒盘口候选,3,"P2:1,P3:1,P4:1","advanced_trading:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/blofin_adapter.md,crates/rustcta-exchange-gateway/src/adapters/blofin/endpoint_mapping.yaml
btcmarkets,spot,声明,未声明,8/8,spec_only,缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/btcmarkets_adapter.md,crates/rustcta-exchange-gateway/src/adapters/btcmarkets/endpoint_mapping.yaml
coinex,spot,声明,未声明,8/8,native,缺订单簿channel；缺档位,200,否,慢速盘口/需评估,3,"P2:1,P3:1,P4:1","advanced_trading:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinex/endpoint_mapping.yaml
coinmate,spot,声明,未声明,2/8,payload_helper,缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinmate_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinmate/endpoint_mapping.yaml
coinone,spot,声明,未声明,8/8,spec_only,缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinone_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinone/endpoint_mapping.yaml
cryptomus,spot,声明,未声明,5/8,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/cryptomus_adapter.md,crates/rustcta-exchange-gateway/src/adapters/cryptomus/endpoint_mapping.yaml
kucoinfutures,perpetual,未声明,声明,9/9,native,缺订单簿channel,100,是,百毫秒盘口候选,3,"P2:1,P3:1,P4:1","advanced_trading:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/kucoinfutures_adapter.md,crates/rustcta-exchange-gateway/src/adapters/kucoinfutures/endpoint_mapping.yaml
luno,spot,声明,未声明,6/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/luno_adapter.md,crates/rustcta-exchange-gateway/src/adapters/luno/endpoint_mapping.yaml
onetrading,spot,声明,未声明,2/8,spec_only,缺订单簿channel；缺推流间隔,,是,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,product_line:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/onetrading_adapter.md,crates/rustcta-exchange-gateway/src/adapters/onetrading/endpoint_mapping.yaml
upbit,spot,声明,未声明,8/8,native,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading_unsupported:1,explicit_unsupported:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/upbit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/upbit/endpoint_mapping.yaml
weex,"perpetual,spot",声明,声明,2/9,native,缺订单簿channel；缺推流间隔,,否,缺推流间隔证据,3,"P2:1,P3:1,P4:1","advanced_trading:1,core_trading:1,public_ws_struct:1",0,-,-,38,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/weex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/weex/endpoint_mapping.yaml
ascendex,"perpetual,spot",声明,声明,9/9,未声明,公共WS未声明,300,是,公共WS未接入/未声明,2,"P2:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,28,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/ascendex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/ascendex/endpoint_mapping.yaml
bequant,spot,声明,未声明,8/8,native,已记录核心细项,1000,否,慢速盘口/需评估,2,"P2:1,P4:1","advanced_trading_unsupported:1,product_line:1",0,-,-,28,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bequant_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bequant/endpoint_mapping.yaml
bigone,"perpetual,spot",声明,声明,9/9,parser_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bigone_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bigone/endpoint_mapping.yaml
bitfinex,"margin,perpetual,spot",声明,声明,9/9,spec_only,缺订单簿channel；缺档位,2000,否,慢速盘口/需评估,3,"P3:2,P4:1","advanced_trading:1,fee_unsupported:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitfinex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitfinex/endpoint_mapping.yaml
bitmart,"perpetual,spot",声明,声明,9/9,spec_only,缺订单簿channel,100,是,百毫秒盘口候选,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitmart_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitmart/endpoint_mapping.yaml
bitunix,"perpetual,spot",声明,声明,8/9,spec_only,缺订单簿channel；缺档位,15000,否,慢速盘口/需评估,3,"P3:2,P4:1","advanced_trading:1,fee_unsupported:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitunix_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitunix/endpoint_mapping.yaml
bydfi,"perpetual,spot",声明,声明,9/9,native,缺订单簿channel,100,否,百毫秒盘口候选,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bydfi_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bydfi/endpoint_mapping.yaml
coindcx,"perpetual,spot",声明,声明,9/9,declared,缺档位,60000,否,慢速盘口/需评估,3,"P3:2,P4:1","advanced_trading:1,fee_unsupported:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coindcx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coindcx/endpoint_mapping.yaml
coinstore,"perpetual,spot",声明,声明,9/9,parser_only,缺订单簿channel；缺档位,100,否,百毫秒盘口候选,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/coinstore_adapter.md,crates/rustcta-exchange-gateway/src/adapters/coinstore/endpoint_mapping.yaml
digifinex,"perpetual,spot",声明,声明,8/9,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/digifinex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/digifinex/endpoint_mapping.yaml
hashkey_global,"perpetual,spot",声明,声明,8/9,spec_only,缺订单簿channel；缺档位,300,否,慢速盘口/需评估,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/hashkey_global_adapter.md,crates/rustcta-exchange-gateway/src/adapters/hashkey_global/endpoint_mapping.yaml
tapbit,"perpetual,spot",声明,声明,9/9,implemented_spec_parser,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/tapbit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/tapbit/endpoint_mapping.yaml
toobit,"perpetual,spot",声明,声明,7/9,native,缺订单簿channel,300,是,慢速盘口/需评估,3,"P3:2,P4:1","advanced_trading:1,fee:1,public_ws_struct:1",0,-,-,23,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/toobit_adapter.md,crates/rustcta-exchange-gateway/src/adapters/toobit/endpoint_mapping.yaml
arkham,"perpetual,spot",声明,声明,2/9,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,2,"P3:1,P4:1","advanced_trading_unsupported:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/arkham_adapter.md,crates/rustcta-exchange-gateway/src/adapters/arkham/endpoint_mapping.yaml
bitrue,"perpetual,spot",声明,声明,8/9,parser_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,2,"P3:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bitrue_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bitrue/endpoint_mapping.yaml
bullish,"futures,perpetual,spot",声明,声明,2/9,native,缺推流间隔,,是,缺推流间隔证据,2,"P3:1,P4:1","advanced_trading_unsupported:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bullish_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bullish/endpoint_mapping.yaml
cointr,"perpetual,spot",声明,声明,9/9,declared,缺档位,300,否,慢速盘口/需评估,2,"P3:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/cointr_adapter.md,crates/rustcta-exchange-gateway/src/adapters/cointr/endpoint_mapping.yaml
deepcoin,"perpetual,spot",声明,声明,9/9,spec_only,缺订单簿channel；缺推流间隔；缺档位,,否,缺推流间隔证据,2,"P3:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/deepcoin_adapter.md,crates/rustcta-exchange-gateway/src/adapters/deepcoin/endpoint_mapping.yaml
phemex,"perpetual,spot",声明,声明,8/9,native,缺档位,20,否,低延迟盘口候选,2,"P3:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/phemex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/phemex/endpoint_mapping.yaml
poloniex,"perpetual,spot",声明,声明,9/9,native,缺推流间隔；缺档位,,否,缺推流间隔证据,2,"P3:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/poloniex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/poloniex/endpoint_mapping.yaml
xt,"perpetual,spot",声明,声明,9/9,parser_only,缺订单簿channel；缺档位,1000,否,慢速盘口/需评估,2,"P3:1,P4:1","advanced_trading:1,public_ws_struct:1",0,-,-,13,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/xt_adapter.md,crates/rustcta-exchange-gateway/src/adapters/xt/endpoint_mapping.yaml
cryptocom,"perpetual,spot",声明,声明,9/9,native,缺档位,500,否,慢速盘口/需评估,1,P3:1,public_ws_struct:1,0,-,-,10,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/cryptocom_adapter.md,crates/rustcta-exchange-gateway/src/adapters/cryptocom/endpoint_mapping.yaml
bingx,"perpetual,spot",声明,声明,9/9,parser_only,已记录核心细项,500,否,慢速盘口/需评估,0,-,-,0,-,-,0,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/bingx_adapter.md,crates/rustcta-exchange-gateway/src/adapters/bingx/endpoint_mapping.yaml
kcex,"perpetual,spot",声明,声明,0/9,unsupported,公共WS不支持/未接入,,否,公共WS未接入/未声明,0,-,-,0,-,-,0,暂无已知阻塞项，等待全量复核,docs/交易所网关/适配器/kcex_adapter.md,crates/rustcta-exchange-gateway/src/adapters/kcex/endpoint_mapping.yaml
